iter	Passed	Remaining
562	13295	10320
563	13302	10283
564	13314	10250
565	13320	10214
566	13327	10177
567	13336	10143
568	13344	10107
569	13352	10073
570	13370	10045
571	13379	10011
572	13388	9977
573	13397	9943
574	13410	9911
575	13472	9917
576	13487	9888
577	13512	9865
578	13524	9834
579	13559	9819
580	13614	9818
581	13621	9783
582	13641	9757
583	13661	9731
584	13683	9706
585	13712	9687
586	13719	9653
587	13733	9623
588	13779	9615
589	13788	9581
590	13806	9554
591	13817	9522
592	13865	9516
593	13888	9492
594	13897	9459
595	13921	9436
596	13928	9402
597	13943	9373
598	13955	9342
599	13979	9319
600	13999	9294
601	14007	9260
602	14017	9228
603	14039	9204
604	14064	9182
605	14089	9160
606	14112	9137
607	14142	9118
608	14190	9110
609	14216	9089
610	14228	9058
611	14242	9029
612	14271	9009
613	14284	8980
614	14323	8966
615	14342	8940
616	14376	8923
617	14394	8897
618	14412	8870
619	14428	8843
620	14450	8819
621	14500	8811
622	14515	8783
623	14535	8758
624	14598	8758
625	14636	8744
626	14649	8715
627	14679	8695
628	14700	8670
629	14716	8643
630	14738	8619
631	14757	8593
632	14785	8572
633	14797	8542
634	14804	8509
635	14829	8487
636	14841	8457
637	14853	8427
638	14862	8396
639	14870	8364
640	14886	8337
641	14901	8309
642	14920	8284
643	14937	8257
644	14951	8228
645	14972	8204
646	14985	8176
647	15005	8151
648	15028	8127
649	15044	8100
650	15068	8078
651	15078	8047
652	15101	8024
653	15111	7994
654	15180	7995
655	15194	7967
656	15209	7940
657	15221	7911
658	15230	7881
659	15251	7856
660	15257	7824
661	15270	7796
662	15287	7770
663	15307	7746
664	15328	7721
665	15338	7692
666	15368	7672
667	15376	7642
668	15390	7614
669	15407	7588
670	15448	7574
671	15455	7543
672	15462	7512
673	15470	7482
674	15477	7452
675	15484	7421
676	15490	7390
677	15521	7371
678	15541	7347
679	15619	7350
680	15625	7319
681	15635	7290
682	15642	7260
683	15649	7229
684	15659	7201
685	15670	7172
686	15679	7143
687	15689	7114
688	15701	7087
689	15726	7065
690	15742	7039
691	15757	7013
692	15775	6988
693	15791	6962
694	15802	6934
695	15840	6918
696	15859	6894
697	15867	6865
698	15906	6849
699	15926	6825
700	15936	6797
701	15960	6775
702	15976	6749
703	15984	6720
704	16010	6699
705	16017	6670
706	16025	6641
707	16062	6624
708	16089	6603
709	16132	6589
710	16150	6564
711	16174	6542
712	16192	6517
713	16214	6495
714	16233	6470
715	16247	6444
716	16265	6420
717	16291	6398
718	16310	6374
719	16331	6350
720	16337	6321
721	16391	6311
722	16410	6287
723	16432	6264
724	16467	6246
725	16485	6221
726	16506	6198
727	16532	6176
728	16547	6151
729	16571	6129
730	16612	6113
731	16623	6086
732	16645	6063
733	16656	6036
734	16680	6013
735	16702	5991
736	16739	5973
737	16751	5947
738	16788	5929
739	16805	5904
740	16822	5879
741	16843	5856
742	16863	5832
743	16874	5806
744	16901	5785
745	16955	5773
746	16980	5751
747	17005	5729
748	17024	5705
749	17037	5679
750	17051	5653
751	17063	5627
752	17074	5600
753	17095	5577
754	17132	5559
755	17165	5540
756	17187	5517
757	17211	5495
758	17235	5472
759	17269	5453
760	17287	5429
761	17296	5402
762	17324	5381
763	17331	5353
764	17338	5326
765	17348	5299
766	17368	5276
767	17387	5252
768	17394	5225
769	17415	5202
770	17422	5174
771	17433	5148
772	17451	5124
773	17465	5099
774	17496	5079
775	17514	5055
776	17545	5035
777	17558	5010
778	17580	4987
779	17587	4960
780	17607	4937
781	17630	4914
782	17645	4890
783	17665	4867
784	17703	4848
785	17711	4822
786	17720	4796
787	17730	4770
788	17742	4744
789	17750	4718
790	17759	4692
791	17822	4680
792	17832	4654
793	17864	4634
794	17876	4609
795	17895	4586
796	17930	4567
797	17950	4543
798	18013	4531
799	18041	4510
800	18068	4488
801	18089	4465
802	18117	4444
803	18132	4420
804	18165	4400
805	18212	4383
806	18227	4359
807	18244	4335
808	18266	4312
809	18301	4293
810	18326	4271
811	18346	4247
812	18362	4223
813	18381	4200
814	18407	4178
815	18422	4154
816	18431	4128
817	18495	4115
818	18516	4092
819	18542	4070
820	18555	4045
821	18570	4021
